latitude,longitude,acq_date,fire_occurred,temperature,humidity,wind_speed,precipitation,elevation,vpd
27.25314,84.94577,2024-04-04,1,26.79,27.62,2.54,0.0,266.0,2.549
30.04305286972788,88.14257992578074,2016-04-27,0,-1.25,28.53,4.63,0.0,4939.0,0.398
27.7016,84.59172,2025-04-01,1,28.13,13.99,1.65,0.0,451.0,3.276
29.532270598276536,82.82230737248025,2016-04-08,0,-6.25,69.19,3.71,0.0,4564.0,0.118
27.92668,82.06248,2016-04-08,1,30.61,22.69,2.23,0.01,263.0,3.397
27.80547,82.74258,2024-04-16,1,26.71,35.64,3.1,0.0,333.0,2.256
28.32039,81.52115,2017-04-16,1,31.85,21.11,2.1,0.0,210.0,3.719
26.89397252892517,85.32058133274028,2024-04-19,0,30.94,23.07,1.97,0.0,86.0,3.444
26.9703,87.65047,2018-04-02,1,21.83,43.71,1.1,0.2,1621.0,1.473
27.19114,87.86903,2019-03-13,1,19.09,28.05,1.62,0.0,1186.0,1.59
27.54393,83.90707,2017-04-29,1,32.35,25.04,1.82,1.87,247.0,3.635
27.61499,83.7658,2018-04-25,1,29.8,25.53,1.64,0.0,523.0,3.124
26.92206294295256,80.02058753623808,2016-04-13,0,31.71,17.12,4.11,0.0,141.0,3.877
29.07690985613619,89.18442276531582,2025-01-28,0,-2.62,20.07,2.54,0.0,4050.0,0.403
28.66242,81.20786,2023-04-18,1,32.34,27.08,2.07,0.0,478.0,3.534
28.75284,81.75291,2019-06-10,1,19.75,51.21,1.76,0.2,2017.0,1.123
27.47162,85.22453,2016-04-24,1,28.29,14.99,2.64,0.0,1642.0,3.268
27.72171,84.71613,2024-03-14,1,21.3,30.65,2.13,0.0,1451.0,1.757
29.6629,80.41733,2016-04-25,1,20.54,16.58,2.01,0.0,784.0,2.017
27.61674,85.71282,2024-03-16,1,17.79,31.11,1.97,0.01,860.0,1.403
27.3289,84.96375,2023-03-07,1,21.33,34.84,1.94,0.01,498.0,1.654
28.586421018752457,87.99384152227294,2025-04-06,0,-1.91,39.4,2.18,0.17,4445.0,0.322
27.42452901002856,87.92903660876458,2016-04-09,0,6.08,49.61,2.19,0.09,2896.0,0.474
29.66939943260571,82.21253944426758,2024-04-15,0,1.13,74.58,1.92,0.0,4444.0,0.169
27.60538,84.94627,2021-04-03,1,22.49,16.0,2.05,0.0,948.0,2.288
28.10453,83.95219,2016-04-28,1,26.31,13.25,2.18,0.0,1148.0,2.97
29.30885504372987,88.43614151617439,2021-02-09,0,-5.77,22.37,1.85,0.0,4038.0,0.308
27.24116997885709,80.36768693885774,2021-03-26,0,26.11,20.98,2.92,0.0,134.0,2.674
27.3975776490566,85.81831064423173,2019-04-03,0,20.29,37.62,1.96,0.02,1168.0,1.485
27.78734,84.72974,2014-04-20,1,17.76,37.33,1.9,0.0,665.0,1.274
27.40677467808358,80.74721503073904,2014-04-27,0,34.21,18.43,2.87,0.0,130.0,4.39
29.96606,80.64689,2020-12-26,1,-0.15,20.46,1.14,0.0,2105.0,0.481
27.43542,85.4753,2021-04-04,1,19.63,17.19,1.92,0.0,1004.0,1.892
27.41296,85.41776,2021-03-28,1,20.99,30.23,1.74,0.0,493.0,1.734
29.31293,80.49369,2016-04-15,1,22.09,25.12,2.05,0.0,945.0,1.991
30.17262898421224,86.49881618323694,2024-03-31,0,-5.27,45.32,6.09,0.01,4886.0,0.226
26.363666472537087,86.89893407960489,2019-05-12,0,32.35,39.62,1.66,1.43,68.0,2.928
28.53311,81.64767,2022-04-25,1,25.36,26.19,1.99,0.0,824.0,2.389
29.133424807492627,84.74548845681909,2024-03-15,0,-8.3,69.34,3.35,0.0,5196.0,0.1
29.05144,80.67606,2019-05-08,1,29.17,18.42,1.96,0.0,1601.0,3.3
26.71777,87.03844,2020-04-01,1,26.81,39.93,1.73,0.55,95.0,2.118
27.20843,87.70361,2020-03-15,1,16.32,65.65,1.49,0.41,1015.0,0.637
27.20842267581047,85.31494472305161,2021-03-17,0,25.76,21.85,1.9,0.0,507.0,2.59
27.73633,82.80749,2022-04-17,1,32.13,18.29,2.71,0.01,330.0,3.914
27.01533214778076,83.4884275200518,2015-05-24,0,35.58,25.24,1.7,0.3,87.0,4.34
29.0022,81.03857,2016-03-18,1,18.69,43.04,1.36,0.0,1048.0,1.228
28.01528,84.66631,2016-03-24,1,21.25,18.06,1.99,0.0,825.0,2.069
28.915450295342115,85.27751757351082,2018-03-21,0,-6.73,67.49,2.89,0.0,4548.0,0.12
29.70121,82.13225,2023-02-19,1,7.97,50.56,1.55,0.0,3421.0,0.529
30.316355906181503,89.06018045036512,2024-04-08,0,-2.77,32.15,5.17,0.01,5143.0,0.338
26.88144569959989,80.52093124535553,2024-04-21,0,31.83,20.74,2.6,0.0,135.0,3.733
30.071554947044184,84.51277668602452,2014-03-30,0,-10.25,72.33,5.67,0.0,5071.0,0.078
27.11461,87.68687,2023-04-05,1,21.26,45.91,1.63,1.97,719.0,1.367
29.53579,81.4445,2016-04-25,1,14.92,22.02,2.09,0.0,2157.0,1.323
28.56341,81.26815,2014-05-11,1,33.69,19.98,2.51,0.02,200.0,4.184
27.60649495158537,86.52193415200753,2014-03-15,0,12.67,42.41,1.67,0.0,3357.0,0.844
27.20041,86.69504,2023-05-09,1,26.18,31.74,2.86,0.72,854.0,2.319
28.25058,81.73875,2023-05-15,1,25.25,41.3,1.98,5.32,208.0,1.887
28.77737,80.17566,2016-03-21,1,23.86,28.0,3.59,0.0,179.0,2.13
28.62235361037493,86.00693286379185,2023-04-13,0,-4.13,67.17,3.02,0.0,4840.0,0.148
29.41545509979695,80.2178943446346,2016-04-09,0,21.68,29.19,2.02,0.0,1254.0,1.836
30.264129514677045,81.50219536259303,2021-04-10,0,-6.73,44.96,3.66,0.0,5243.0,0.203
27.056491399453265,84.42566094367679,2025-06-20,0,31.56,62.89,1.73,4.92,82.0,1.721
28.22138,81.82083,2017-04-07,1,30.96,34.42,2.38,2.37,388.0,2.94
27.52547,85.84961,2023-04-16,1,25.06,31.68,1.96,0.0,1503.0,2.172
27.74809,84.49484,2014-03-29,1,28.68,32.45,3.47,0.0,391.0,2.656
